
gridstats_2012-1_2023-12_y098-195_x000-154
            min min        max max        mean mean      mean std
tmp         246.640        324.830        289.869        5.088
spfh        0.000          0.022          0.005          0.002
pres        63545.422      104796.523     87582.664      362.548
ugrd        -16.610        23.220         1.225          2.270
vgrd        -16.890        21.580         0.633          2.390
dlwrf       109.420        521.670        291.727        35.450
pevap       -0.342         1.678          0.272          0.265
apcp        0.000          95.622         0.030          0.250
dswrf       0.000          1174.487       227.958        281.796
asnow       0.000          57.826         0.002          0.020
arain       0.000          95.622         0.029          0.243
evp         -0.099         1.508          0.024          0.038
ssrun       0.000          78.904         0.002          0.030
bgrun       0.000          8.061          0.005          0.006
snom        0.000          43.244         0.002          0.013
weasd       0.000          1555.098       0.697          1.130
cnwat       0.000          0.500          0.038          0.086
soilm-10    2.000          47.600         15.992         3.525
soilm-40    6.000          142.800        55.900         6.842
soilm-100   12.000         279.000        106.687        11.723
soilm-200   20.000         451.580        185.423        17.213
tsoil-10    247.390        330.230        287.021        5.591
tsoil-40    254.660        314.860        286.611        1.921
tsoil-100   256.960        310.330        286.285        1.440
tsoil-200   259.800        306.400        285.698        1.144
evcw        0.000          489.400        1.848          7.407
trans       0.000          274.300        5.170          6.948
evbs        0.000          471.700        9.757          16.715
lai         0.060          6.000          2.961          0.197
veg         0.000          0.760          0.177          0.006
rsm-10      -0.318         1.000          0.274          0.094
rsm-40      -0.133         1.000          0.344          0.061
rsm-100     -0.358         1.000          0.321          0.052
rsm-200     -0.358         0.963          0.342          0.046
rsm-fc      -0.155         0.907          0.332          0.043
soilm-fc    52.670         858.060        364.002        32.719
windmag     0.000          26.319         3.459          1.784

gridstats_2012-1_2023-12_y000-098_x154-308
            min min        max max        mean mean      mean std
tmp         234.860        321.000        283.210        6.450
spfh        0.000          0.029          0.006          0.002
pres        64267.480      103515.859     94967.977      643.969
ugrd        -17.920        23.480         0.707          2.898
vgrd        -21.090        18.540         0.470          3.571
dlwrf       93.000         522.120        296.667        40.325
pevap       -0.716         1.610          0.189          0.205
apcp        0.000          123.890        0.079          0.524
dswrf       0.000          1069.223       179.370        222.609
asnow       0.000          112.477        0.006          0.063
arain       0.000          123.891        0.073          0.499
evp         -0.118         1.386          0.054          0.071
ssrun       0.000          91.262         0.010          0.116
bgrun       0.000          3.753          0.016          0.017
snom        0.000          36.566         0.005          0.038
weasd       0.000          386.611        3.036          3.930
cnwat       0.000          0.500          0.103          0.155
soilm-10    2.780          47.600         25.999         4.050
soilm-40    6.000          142.800        74.966         10.192
soilm-100   12.000         285.600        135.387        21.568
soilm-200   20.000         474.450        251.017        22.155
tsoil-10    240.780        319.290        281.501        4.754
tsoil-40    247.690        306.200        280.572        2.413
tsoil-100   252.550        304.010        280.413        1.839
tsoil-200   255.650        298.770        280.323        1.413
evcw        0.000          888.600        4.903          16.200
trans       0.000          575.900        20.800         28.849
evbs        0.000          391.300        10.665         15.722
lai         0.640          6.000          2.180          0.115
veg         0.000          0.990          0.350          0.033
rsm-10      -0.036         1.000          0.489          0.108
rsm-40      -0.034         1.000          0.462          0.090
rsm-100     -0.358         1.000          0.397          0.097
rsm-200     -0.193         1.000          0.466          0.059
rsm-fc      -0.145         0.917          0.446          0.064
soilm-fc    103.940        879.530        487.366        48.261
windmag     0.000          23.529         4.381          2.040

gridstats_2012-1_2023-12_y000-098_x308-462
            min min        max max        mean mean      mean std
tmp         237.530        316.920        283.447        5.439
spfh        0.000          0.026          0.007          0.002
pres        85574.359      104475.656     98177.539      661.329
ugrd        -25.610        23.990         1.392          3.156
vgrd        -21.430        23.470         0.478          3.267
